,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,Dunedin,-45.8742,170.5036,50.79,60,85,9.98,NZ,1627344000
292,Broken Hill,-31.95,141.4333,57.13,46,8,24.99,AU,1627344000
293,Pierre,44.3683,-100.351,107.2,23,10,11.07,US,1627344000
294,Sembakung,3.8167,117.25,77.29,97,98,1.52,ID,1627344000
295,Kununurra,-15.7667,128.7333,77.7,70,100,3.02,AU,1627344000
296,Canto do Buriti,-8.11,-42.9444,80.29,38,42,5.99,BR,1627344000
297,Dwārka,22.2394,68.9678,82.36,85,100,21.74,IN,1627344000
298,Nanortalik,60.1432,-45.2371,49.86,76,26,0.89,GL,1627344000
299,Tual,-5.6667,132.75,81.09,76,90,16.13,ID,1627344000
300,Quelimane,-17.8786,36.8883,62.76,92,56,4.81,MZ,1627344000
301,Naze,28.3667,129.4833,77.92,85,100,13.38,JP,1627344000
302,Chenzhou,25.8,113.0333,82.54,79,40,2.13,CN,1627344000
303,Iqaluit,63.7506,-68.5145,49.42,75,37,7.63,CA,1627344000
304,Sestri Levante,44.2732,9.3968,74.52,88,48,5.35,IT,1627344000
305,Berlevåg,70.8578,29.0864,45.28,87,70,0.78,NO,1627344000
306,Port Hedland,-20.3167,118.5667,71.24,91,64,10.83,AU,1627344000
307,Mastic Beach,40.7668,-72.8521,82.26,68,22,7.16,US,1627344000
308,Cap Malheureux,-19.9842,57.6142,70.72,83,34,18.19,MU,1627344000
309,Barpeta,26.3167,91.0,81.41,88,100,2.01,IN,1627344000
310,Vestmannaeyjar,63.4427,-20.2734,50.86,89,93,12.17,IS,1627344000
311,Vao,-22.6667,167.4833,68.23,61,96,17.07,NC,1627344000
312,Agua Dulce,18.1333,-94.1333,87.12,70,64,8.77,MX,1627344000
313,Serov,59.6033,60.5787,57.07,69,68,8.55,RU,1627344000
314,Ojinaga,29.5667,-104.4167,101.3,12,11,10.6,MX,1627344000
315,Eugene,44.0521,-123.0867,90.82,33,60,6.98,US,1627344000
316,Pangai,-19.8,-174.35,76.86,77,68,4.18,TO,1627344000
317,Redcar,54.6166,-1.06,61.83,86,28,4.5,GB,1627344000
318,Ancud,-41.8697,-73.8203,45.07,71,62,6.76,CL,1627344000
319,Tocopilla,-22.092,-70.1979,62.26,72,19,10.65,CL,1627344000
320,Regeneração,-6.2378,-42.6883,88.2,30,66,8.52,BR,1627344000
321,Oussouye,12.485,-16.5469,83.79,79,60,7.87,SN,1627344000
322,Boguchany,58.3814,97.4531,71.8,61,86,3.53,RU,1627344000
323,Maniitsoq,65.4167,-52.9,51.85,76,32,13.69,GL,1627344000
324,Ladário,-19.0047,-57.6017,87.6,39,0,3.13,BR,1627344000
325,Sergeevka,53.88,67.4158,57.22,53,82,5.66,KZ,1627344000
326,Gander,48.9682,-54.5906,66.72,64,31,8.66,CA,1627344000
327,Bambous Virieux,-20.3428,57.7575,70.03,88,76,15.19,MU,1627344000
328,Agüimes,27.9054,-15.4461,69.49,81,60,15.79,ES,1627344000
329,Tsalenjikha,42.6044,42.0682,71.38,99,99,1.83,GE,1627344000
330,Egvekinot,66.3167,-179.1667,45.23,94,100,2.24,RU,1627344000
331,Haines Junction,60.7522,-137.5108,52.43,88,100,3.65,CA,1627344000
332,Det Udom,14.906,105.0784,78.04,91,94,7.9,TH,1627344000
333,Arrondissement de Lisieux,49.1667,0.1667,62.38,81,100,5.3,FR,1627344000
334,Limbang,4.75,115.0,79.21,92,96,2.13,MY,1627344000
335,Camacha,33.0833,-16.3333,68.67,79,50,13.8,PT,1627344000
336,Palmas de Monte Alto,-14.2672,-43.1619,74.95,39,14,6.93,BR,1627344000
337,Zavodoukovsk,56.5042,66.5515,56.14,63,99,5.86,RU,1627344000
338,Springbok,-29.6643,17.8865,57.51,36,0,5.77,ZA,1627344000
339,La Ronge,55.1001,-105.2842,72.63,45,35,2.73,CA,1627344000
340,Lake Havasu City,34.4839,-114.3224,98.38,32,24,11.39,US,1627344000
341,Isiro,2.7739,27.616,66.52,99,100,2.48,CD,1627344000
342,Mehamn,71.0357,27.8492,45.54,88,24,3.91,NO,1627344000
343,Linkou,45.3,130.2833,88.05,66,85,2.13,CN,1627344000
344,Burley,42.5357,-113.7928,102.04,11,25,8.37,US,1627344000
345,Māndal,25.45,74.5667,77.02,86,100,10.89,IN,1627344000
346,Bariloche,-41.1456,-71.3082,37.42,61,5,6.91,AR,1627344000
347,Roald,62.5833,6.1333,61.29,91,18,7.65,NO,1627344000
348,Vilela,41.2251,-7.6034,61.86,64,1,3.6,PT,1627344000
349,Boa Vista,2.8197,-60.6733,83.61,67,61,4.72,BR,1627344000
350,Oskarshamn,57.2645,16.4484,67.33,87,75,6.04,SE,1627344000
351,Goundam,16.4145,-3.6708,88.63,51,100,13.33,ML,1627344000
352,Salinas,36.6777,-121.6555,70.65,65,14,8.81,US,1627344000
353,Laramie,41.3114,-105.5911,83.82,17,32,15.77,US,1627344000
354,Mergen,49.1833,125.2167,68.49,96,100,5.3,CN,1627344000
355,Yulara,-25.2406,130.9889,64.76,43,28,17.94,AU,1627344000
356,Pāvilosta,56.8879,21.1859,67.87,76,100,9.4,LV,1627344000
357,Ambilobe,-13.2,49.05,70.36,64,95,3.33,MG,1627344000
358,Ucluelet,48.9329,-125.5528,66.27,79,10,8.39,CA,1627344000
359,Gushikawa,26.3544,127.8686,81.16,93,83,12.77,JP,1627344000
360,Ayan,56.45,138.1667,70.57,65,4,7.63,RU,1627344000
361,Chumikan,54.7183,135.315,71.91,66,100,3.51,RU,1627344000
362,Guerrero Negro,27.9769,-114.0611,78.4,55,0,16.04,MX,1627344000
363,Urucará,-2.5364,-57.76,84.54,51,100,2.46,BR,1627344000
364,Inhambane,-23.865,35.3833,64.72,68,52,8.41,MZ,1627344000
365,Yangi Marg`ilon,40.4272,71.7189,82.56,29,4,4.72,UZ,1627344000
366,Gaogou,34.0175,119.1886,78.53,92,100,17.72,CN,1627344000
367,Safaga,26.7292,33.9365,89.01,46,0,9.48,EG,1627344000
368,Cloquet,46.7216,-92.4594,86.97,43,1,4.74,US,1627344000
369,Sabancuy,18.9667,-91.1833,86.2,64,93,8.59,MX,1627344000
370,Jacksonville,30.3322,-81.6556,80.8,85,83,4.07,US,1627344000
371,Porto Velho,-8.7619,-63.9039,89.29,41,17,0.89,BR,1627344000
372,Flinders,-34.5833,150.8552,63.32,64,78,8.25,AU,1627344000
373,Ikeda,34.8221,135.4298,83.88,80,51,9.82,JP,1627344000
374,Shenjiamen,29.9576,122.298,79.05,90,100,28.43,CN,1627344000
375,City of San Pedro,14.35,121.0167,82.17,82,82,19.37,PH,1627344000
376,Thinadhoo,0.5333,72.9333,81.52,73,99,7.2,MV,1627344000
377,San Vicente,-26.6167,-54.1333,67.87,64,80,2.06,AR,1627344000
378,Swift Current,50.2834,-107.8014,88.21,26,1,7.0,CA,1627344000
379,Balabac,7.9868,117.0645,85.03,77,91,15.17,PH,1627344000
380,Hamilton,39.1834,-84.5333,85.35,53,27,5.77,US,1627344000
381,Balclutha,-46.2339,169.75,48.69,72,84,6.02,NZ,1627344000
382,Dalvik,65.9702,-18.5286,52.5,75,88,6.78,IS,1627344000
383,Chintamani,13.4,78.0667,69.37,84,98,13.09,IN,1627344000
384,Kamenka,51.3223,42.7678,62.26,53,1,4.36,RU,1627344000
385,Brainerd,46.358,-94.2008,94.75,34,2,2.37,US,1627344000
386,Wajir,1.7471,40.0573,75.2,60,51,17.69,KE,1627344000
387,Macas,-2.3167,-78.1167,72.54,84,72,0.92,EC,1627344000
388,Port Hardy,50.6996,-127.4199,60.69,85,83,12.77,CA,1627344000
389,Shache,38.4167,77.2406,87.04,25,12,3.49,CN,1627344000
390,Nyrob,60.733,56.7202,53.19,98,100,9.1,RU,1627344000
391,Yacuiba,-22.038,-63.6797,72.01,45,7,10.63,BO,1627344000
392,Bourail,-21.5667,165.4833,71.92,63,98,8.9,NC,1627344000
393,Chabahar,25.2919,60.643,84.54,86,49,5.44,IR,1627344000
394,Paita,-5.0892,-81.1144,74.71,77,1,16.84,PE,1627344000
395,Porbandar,21.6422,69.6093,82.06,85,100,19.08,IN,1627344000
396,Half Moon Bay,37.4636,-122.4286,68.97,70,76,8.75,US,1627344000
397,Meulaboh,4.1363,96.1285,76.75,89,63,4.34,ID,1627344000
398,Kodinsk,58.6881,99.1844,72.45,63,3,3.33,RU,1627344000
399,Matagami,49.7502,-77.6328,56.75,81,93,6.06,CA,1627344000
400,Nehe,48.4833,124.8333,70.48,96,100,7.94,CN,1627344000
401,Chaman,30.9236,66.4512,85.21,12,27,6.42,PK,1627344000
402,Boundiali,9.5217,-6.4869,71.65,95,66,5.64,CI,1627344000
403,Orange,33.7,-117.7675,77.92,72,78,8.63,US,1627344000
404,Sistranda,63.7256,8.834,63.23,70,59,7.85,NO,1627344000
405,Lillooet,50.6856,-121.942,89.78,23,9,6.96,CA,1627344000
406,Keokuk,40.3973,-91.3849,85.26,59,0,4.05,US,1627344000
407,Arrondissement de Saintes,45.6667,-0.75,62.1,89,100,4.25,FR,1627344000
408,Novoagansk,61.9449,76.6625,50.2,87,98,11.83,RU,1627344000
409,Kaitangata,-46.2817,169.8464,48.61,71,85,8.63,NZ,1627344000
410,Estevan,49.1334,-102.9842,94.86,30,1,6.4,CA,1627344000
411,Hofn,64.2539,-15.2082,52.56,80,99,6.85,IS,1627344000
412,Filingué,14.3521,3.3168,92.23,46,99,14.74,NE,1627344000
413,Hanmer Springs,-42.5167,172.8167,45.18,84,99,3.94,NZ,1627344000
414,Banfora,10.6333,-4.7667,77.58,75,46,6.26,BF,1627344000
415,Vakhrushev,48.9833,142.9667,72.43,83,67,7.65,RU,1627344000
416,Uglegorskiy,48.2427,41.2531,74.7,35,9,11.14,RU,1627344000
417,Bubaque,11.2833,-15.8333,80.29,83,100,12.35,GW,1627344000
418,Faya,18.3851,42.4509,66.38,63,71,5.28,SA,1627344000
419,Humaitá,-7.5061,-63.0208,92.03,35,68,0.58,BR,1627344000
420,Manaure,11.7751,-72.4445,83.44,74,59,17.67,CO,1627344000
421,Sovetskiy,61.3614,63.5842,50.52,89,57,5.5,RU,1627344000
422,Carutapera,-1.195,-46.02,75.88,92,80,6.35,BR,1627344000
423,Dingolfing,48.6333,12.5,62.58,94,96,6.96,DE,1627344000
424,Dromolaxia,34.8761,33.586,83.98,50,0,5.03,CY,1627344000
425,Itainópolis,-7.4469,-41.4783,81.97,43,15,5.12,BR,1627344000
426,Xai-Xai,-25.0519,33.6442,61.23,82,11,3.27,MZ,1627344000
427,Tomatlán,19.9333,-105.25,89.01,62,85,7.43,MX,1627344000
428,Odienné,9.51,-7.5692,71.49,97,21,4.81,CI,1627344000
429,Sungurlu,40.1675,34.3739,65.41,66,3,2.06,TR,1627344000
430,Faanui,-16.4833,-151.75,79.48,74,61,12.5,PF,1627344000
431,Road Town,18.4167,-64.6167,83.43,73,49,16.69,VG,1627344000
432,Polunochnoye,60.8697,60.4153,53.62,85,77,6.76,RU,1627344000
433,Gazojak,41.1875,61.4036,83.44,18,0,11.79,TM,1627344000
434,San Cristobal,7.7669,-72.225,73.85,89,91,3.6,VE,1627344000
435,Ikwiriri,-7.9562,38.9716,67.14,90,89,1.16,TZ,1627344000
436,Mareeba,-17.0,145.4333,71.64,85,71,5.28,AU,1627344000
437,Gumdag,39.2061,54.5906,82.63,70,0,6.69,TM,1627344000
438,Maraã,-1.8333,-65.3667,78.53,81,95,3.49,BR,1627344000
439,Clyde River,70.4692,-68.5914,38.86,91,88,5.59,CA,1627344000
440,Riviere-au-Renard,48.9957,-64.3971,64.18,94,79,8.86,CA,1627344000
441,Ereymentau,51.6199,73.1033,54.52,58,1,2.15,KZ,1627344000
442,Praia da Vitória,38.7333,-27.0667,72.79,89,79,8.86,PT,1627344000
443,Elk City,35.412,-99.4043,92.97,43,19,11.88,US,1627344000
444,Bafoulabé,13.8065,-10.8321,82.94,74,87,2.91,ML,1627344000
445,Mayo,38.8876,-76.5119,85.57,66,28,4.36,US,1627344000
446,Caucayá,-0.1934,-74.7819,77.74,83,77,0.6,CO,1627344000
447,Te Anau,-45.4167,167.7167,46.31,88,55,4.32,NZ,1627344000
448,Ixtapa,20.7,-105.2,85.21,72,83,1.81,MX,1627344000
449,Verkhnyaya Toyma,62.2349,44.9985,44.33,83,57,5.1,RU,1627344000
450,Atar,20.5169,-13.0499,97.0,17,26,3.4,MR,1627344000
451,Pa Sang,18.5262,98.9394,75.9,94,96,1.01,TH,1627344000
452,Yerbogachën,61.2767,108.0108,75.49,67,63,6.44,RU,1627344000
453,Panacan,9.2463,118.4082,83.75,70,91,4.74,PH,1627344000
454,Marsá Maţrūḩ,31.3525,27.2453,78.4,75,31,9.71,EG,1627344000
455,Beringovskiy,63.05,179.3167,53.42,93,100,7.58,RU,1627344000
456,Wanning,18.8003,110.3967,83.03,86,74,7.18,CN,1627344000
457,Quang Ngai,15.1167,108.8,84.22,72,74,4.18,VN,1627344000
458,Tateyama,34.9833,139.8667,75.13,87,81,20.58,JP,1627344000
459,Mana,5.6592,-53.7767,80.06,81,37,6.93,GF,1627344000
460,Isoka,-10.1606,32.6335,46.76,73,29,0.49,ZM,1627344000
461,Nelson Bay,-32.7167,152.15,60.96,65,5,11.01,AU,1627344000
462,Sinjai,-5.1241,120.253,78.69,83,20,2.59,ID,1627344000
463,Saint-Pierre,-21.3393,55.4781,67.89,83,58,11.03,RE,1627344000
464,Sola,-13.8833,167.55,80.22,88,61,16.58,VU,1627344000
465,Fairview,40.8126,-73.999,86.83,37,8,8.39,US,1627344000
466,Mayor Pablo Lagerenza,-19.9309,-60.7718,90.93,24,0,5.37,PY,1627344000
467,Vila,42.0304,-8.1588,56.14,89,8,2.91,PT,1627344000
468,Baykit,61.67,96.37,75.13,67,43,3.65,RU,1627344000
469,Birao,10.2849,22.7882,70.92,96,100,3.94,CF,1627344000
470,Socorro,31.6546,-106.3033,93.74,27,79,2.01,US,1627344000
471,Yuci,37.6803,112.7319,79.9,70,33,1.97,CN,1627344000
472,Mazamari,-11.3258,-74.5308,83.23,50,26,0.78,PE,1627344000
473,Khasan,42.4308,130.6434,77.45,86,65,1.41,RU,1627344000
474,Bloemfontein,-29.1211,26.214,34.9,59,18,6.42,ZA,1627344000
475,Tazovsky,67.4667,78.7,45.79,97,100,18.1,RU,1627344000
476,Kuching,1.55,110.3333,77.7,92,41,2.62,MY,1627344000
477,Santa Marta,11.2408,-74.199,82.26,80,94,4.34,CO,1627344000
478,Itoman,26.1247,127.6694,81.93,93,60,11.65,JP,1627344000
479,El Alto,-4.2714,-81.2147,71.78,78,12,14.29,PE,1627344000
480,Sioux Lookout,50.1001,-91.917,74.53,44,83,6.13,CA,1627344000
481,Richards Bay,-28.783,32.0377,61.9,59,23,14.79,ZA,1627344000
482,Keuruu,62.2667,24.7,64.08,51,94,1.3,FI,1627344000
483,Ajdabiya,30.7554,20.2263,79.74,46,0,8.23,LY,1627344000
484,Guanajuato City,21.0186,-101.2591,76.64,32,51,15.93,MX,1627344000
485,Kiama,-34.6833,150.8667,63.52,62,74,8.03,AU,1627344000
486,Sungai Penuh,-2.0833,101.3833,62.91,89,9,3.02,ID,1627344000
487,Mīāndoāb,36.9694,46.1027,80.35,41,22,3.18,IR,1627344000
488,Cassilândia,-19.1133,-51.7342,77.04,23,0,2.46,BR,1627344000
489,Srednekolymsk,67.45,153.6833,51.73,61,77,14.41,RU,1627344000
490,Asău,46.4333,26.4,66.43,78,74,5.23,RO,1627344000
491,Natal,-5.795,-35.2094,77.65,77,13,8.3,BR,1627344000
492,Clyde,41.3042,-82.9752,83.03,61,0,3.31,US,1627344000
493,Kumul,42.8,93.45,84.15,21,4,13.35,CN,1627344000
494,Tiébissou,7.1574,-5.2257,76.15,96,48,6.8,CI,1627344000
495,Bentiu,9.2333,29.8333,69.03,95,99,2.73,SS,1627344000
496,Kaeo,-35.1,173.7833,58.93,77,40,13.53,NZ,1627344000
497,Rawson,-43.3002,-65.1023,43.34,58,97,30.4,AR,1627344000
498,Preobrazheniye,42.9019,133.9064,79.29,87,93,4.43,RU,1627344000
499,Laguna,38.421,-121.4238,88.18,23,31,16.73,US,1627344000
500,Nan,18.8333,100.6667,72.48,98,97,2.39,TH,1627344000
501,Damara,4.9608,18.7035,73.2,96,100,3.09,CF,1627344000
502,Pevek,69.7008,170.3133,36.64,88,92,16.75,RU,1627344000
503,Sivaki,52.6333,126.75,71.89,86,51,5.26,RU,1627344000
504,Whitehorse,60.7161,-135.0538,51.93,90,93,7.58,CA,1627344000
505,Zhezkazgan,47.8043,67.7144,67.73,32,0,10.36,KZ,1627344000
506,Buraidah,26.326,43.975,97.12,15,32,12.06,SA,1627344000
507,Olinda,-8.0089,-34.8553,75.47,80,10,8.88,BR,1627344000
508,Luganville,-15.5333,167.1667,78.96,85,60,11.27,VU,1627344000
509,Palmer,42.1584,-72.3287,79.07,58,23,4.09,US,1627344000
510,Acaraú,-2.8856,-40.12,79.79,78,39,18.63,BR,1627344000
511,Shelburne,44.0787,-80.2041,77.16,40,6,6.35,CA,1627344000
512,Eenhana,-17.4667,16.3333,53.04,37,0,8.52,NA,1627344000
513,Solnechnyy,50.7214,136.6319,72.54,94,100,2.59,RU,1627344000
514,Mackay,-21.15,149.2,67.62,86,2,7.83,AU,1627344000
515,Lüderitz,-26.6481,15.1594,65.59,49,0,4.83,NA,1627344000
516,Henties Bay,-22.116,14.2845,67.96,60,0,1.01,NA,1627344000
517,Sobolevo,54.4299,31.8996,66.33,69,84,5.48,RU,1627344000
518,Arlit,18.7369,7.3853,98.49,14,100,17.67,NE,1627344000
519,Santa Fe,-31.6333,-60.7,57.74,48,0,10.11,AR,1627344000
520,Coyhaique,-45.5752,-72.0662,37.69,78,78,5.91,CL,1627344000
521,Westport,41.1415,-73.3579,83.55,52,39,6.78,US,1627344000
522,Severomuysk,56.1481,113.4267,60.75,60,1,3.71,RU,1627344000
523,San Roque,36.2107,-5.3842,72.23,68,0,4.21,ES,1627344000
524,Madang,-5.2246,145.7966,80.71,88,97,0.92,PG,1627344000
525,Pitimbu,-7.4706,-34.8086,76.91,83,20,8.81,BR,1627344000
526,Jardim,-21.4803,-56.1381,82.98,32,58,4.07,BR,1627344000
527,Dubbo,-32.25,148.6167,54.61,84,12,10.09,AU,1627344000
528,Gigmoto,13.7796,124.39,83.75,81,100,14.92,PH,1627344000
529,Sanson,-40.2167,175.4167,53.19,82,33,14.94,NZ,1627344000
530,Fort Nelson,58.8053,-122.7002,74.75,35,67,5.08,CA,1627344000
531,Hillsborough,37.5741,-122.3794,68.16,69,76,8.79,US,1627344000
532,Subate,56.0062,25.9076,64.65,75,56,6.46,LV,1627344000
533,Mahibadhoo,3.7833,72.9667,82.17,72,83,5.44,MV,1627344000
534,Sabha,27.0377,14.4283,84.99,21,0,14.58,LY,1627344000
535,Shirokiy,49.758,129.523,72.48,93,100,5.28,RU,1627344000
536,Carupano,10.6678,-63.2585,81.61,79,21,9.35,VE,1627344000
537,Kabalo,-6.05,26.9167,72.5,32,78,4.61,CD,1627344000
538,Shingū,33.7333,135.9833,84.99,75,78,2.08,JP,1627344000
539,Henderson,36.0397,-114.9819,93.49,47,69,17.38,US,1627344000
540,Xining,36.6167,101.7667,56.43,84,82,2.95,CN,1627344000
541,Amapá,1.0,-52.0,74.75,97,100,2.57,BR,1627344000
542,Noumea,-22.2763,166.4572,70.86,84,96,14.54,NC,1627344000
543,Tyret’ Pervaya,53.6703,102.3106,64.9,75,86,10.25,RU,1627344000
544,Durazno,-33.4131,-56.5006,50.18,69,0,9.06,UY,1627344000
545,Nabire,-3.3667,135.4833,82.74,81,87,1.16,ID,1627344000
546,Mossamedes,-15.1961,12.1522,66.07,81,0,1.63,AO,1627344000
547,Namanga,-2.5433,36.7905,60.76,60,62,5.12,KE,1627344000
548,Qeshm,26.9581,56.2719,92.3,75,40,4.23,IR,1627344000
549,Grants,35.1473,-107.8514,78.62,38,55,4.9,US,1627344000
550,Kitob,39.0843,66.8332,81.79,30,0,9.26,UZ,1627344000
551,Elverum,60.8819,11.5623,61.34,85,87,2.66,NO,1627344000
552,Highland Springs,37.546,-77.3278,74.62,87,88,3.36,US,1627344000
553,Chirongui,-12.9319,45.1483,76.93,66,9,20.13,YT,1627344000
554,Kysyl-Syr,63.8986,122.7617,72.52,67,21,8.41,RU,1627344000
555,Dulovo,43.8167,27.15,67.1,54,3,5.5,BG,1627344000
556,Aksu,41.1231,80.2644,84.76,21,0,5.1,CN,1627344000
557,Biak,-0.9131,122.8766,76.93,72,72,6.49,ID,1627344000
558,Samarai,-10.6167,150.6667,78.76,86,100,16.64,PG,1627344000
559,Spassk-Ryazanskiy,54.4072,40.3806,67.86,59,26,5.64,RU,1627344000
560,Yarensk,62.1675,49.0916,43.34,95,32,7.2,RU,1627344000
561,Haverfordwest,51.8017,-4.9691,61.5,89,100,3.91,GB,1627344000
562,Ust-Maya,60.4167,134.5333,76.62,71,5,7.38,RU,1627344000
563,Kuusamo,65.9667,29.1833,51.06,86,27,3.58,FI,1627344000
564,Tromsø,69.6496,18.957,52.84,97,17,3.89,NO,1627344000
565,Lithgow,-33.4833,150.15,49.87,83,76,10.33,AU,1627344000
566,Zhanakorgan,43.9098,67.2495,80.56,26,0,21.81,KZ,1627344000
567,Amahai,-3.3333,128.9167,79.95,86,85,2.04,ID,1627344000
568,Gunnedah,-30.9833,150.25,53.71,84,11,2.91,AU,1627344000
569,Bridgetown,13.1,-59.6167,83.39,72,18,13.31,BB,1627344000
570,Payson,40.0444,-111.7321,89.47,32,48,11.39,US,1627344000
571,Shumskiy,54.8318,99.1328,65.8,79,52,3.94,RU,1627344000
572,Port Hawkesbury,45.6169,-61.3485,65.75,98,92,5.17,CA,1627344000
573,Porto Walter,-8.2686,-72.7439,84.79,49,47,1.5,BR,1627344000
574,Nova Ushytsya,48.8372,27.2743,66.27,71,46,7.52,UA,1627344000
575,Blackwater,-23.5833,148.8833,65.1,54,1,6.87,AU,1627344000
576,San Miguelito,9.0333,-79.5,78.58,87,60,4.88,PA,1627344000
577,Alvinópolis,-20.1067,-43.0489,61.02,65,0,3.29,BR,1627344000
578,Tabou,4.423,-7.3528,76.39,76,100,9.73,CI,1627344000
579,Mattru,7.6244,-11.8332,73.53,96,64,3.22,SL,1627344000
580,Oranjemund,-28.55,16.4333,62.55,57,0,6.62,NA,1627344000
581,Nichinan,31.6,131.3667,81.5,82,10,0.94,JP,1627344000
582,Bekhtery,46.251,32.2927,77.34,52,28,6.29,UA,1627344000
